% Potentiometer Recording  5.0 s
% Vg_offset=1.395394V  K_gimbal=26.049690
% Fs=200 Hz  samples=1001

Time[s]              Vg[V]                Pot[V]               Omega[rad/s]        
        1.3054240000         1.3939905194         3.3453631551        -0.0365680283
        1.3103781000         1.3939905194         3.3479150326        -0.0365680283
        1.3154127000         1.3939905194         3.3453631551        -0.0365680283
        1.3204043000         1.3888858657         3.3402594002        -0.1695426768
        1.3254310000         1.4041998268         3.3530187875         0.2293812686
        1.3303946000         1.3888858657         3.3402594002        -0.1695426768
        1.3354101000         1.3965428462         3.3453631551         0.0299192959
        1.3404140000         1.3965428462         3.3428112777         0.0299192959
        1.3453941000         1.3965428462         3.3453631551         0.0299192959
        1.3503816000         1.3939905194         3.3453631551        -0.0365680283
        1.3554096000         1.3965428462         3.3453631551         0.0299192959
        1.3604888000         1.3888858657         3.3402594002        -0.1695426768
        1.3654162000         1.4016475000         3.3453631551         0.1628939444
        1.3704099000         1.3965428462         3.3428112777         0.0299192959
        1.3753967000         1.3965428462         3.3453631551         0.0299192959
        1.3804224000         1.3965428462         3.3453631551         0.0299192959
        1.3854326000         1.4016475000         3.3530187875         0.1628939444
        1.3905395000         1.4016475000         3.3530187875         0.1628939444
        1.3954245000         1.3965428462         3.3504669101         0.0299192959
        1.4005307000         1.3939905194         3.3479150326        -0.0365680283
        1.4054147000         1.3965428462         3.3479150326         0.0299192959
        1.4103839000         1.3990951731         3.3453631551         0.0964066201
        1.4153911000         1.3939905194         3.3453631551        -0.0365680283
        1.4204157000         1.3965428462         3.3453631551         0.0299192959
        1.4254250000         1.3965428462         3.3453631551         0.0299192959
        1.4304234000         1.3888858657         3.3377075228        -0.1695426768
        1.4354172000         1.3965428462         3.3453631551         0.0299192959
        1.4404381000         1.3914381925         3.3377075228        -0.1030553526
        1.4454392000         1.3965428462         3.3453631551         0.0299192959
        1.4504058000         1.4016475000         3.3530187875         0.1628939444
        1.4554126000         1.3965428462         3.3453631551         0.0299192959
        1.4604249000         1.3888858657         3.3402594002        -0.1695426768
        1.4654003000         1.3888858657         3.3402594002        -0.1695426768
        1.4704174000         1.3965428462         3.3453631551         0.0299192959
        1.4753940000         1.3939905194         3.3428112777        -0.0365680283
        1.4804362000         1.4041998268         3.3530187875         0.2293812686
        1.4854149000         1.3888858657         3.3428112777        -0.1695426768
        1.4903901000         1.3965428462         3.3453631551         0.0299192959
        1.4953785000         1.3914381925         3.3453631551        -0.1030553526
        1.5003891000         1.4016475000         3.3530187875         0.1628939444
        1.5053960000         1.3965428462         3.3453631551         0.0299192959
        1.5103796000         1.3965428462         3.3453631551         0.0299192959
        1.5154146000         1.3965428462         3.3453631551         0.0299192959
        1.5203943000         1.3939905194         3.3453631551        -0.0365680283
        1.5253751000         1.3965428462         3.3453631551         0.0299192959
        1.5303821000         1.3990951731         3.3504669101         0.0964066201
        1.5353984000         1.3965428462         3.3453631551         0.0299192959
        1.5404042000         1.3888858657         3.3402594002        -0.1695426768
        1.5453900000         1.3965428462         3.3453631551         0.0299192959
        1.5504601000         1.3965428462         3.3453631551         0.0299192959
        1.5554102000         1.3965428462         3.3453631551         0.0299192959
        1.5603825000         1.4016475000         3.3530187875         0.1628939444
        1.5654023000         1.3888858657         3.3402594002        -0.1695426768
        1.5704042000         1.3965428462         3.3453631551         0.0299192959
        1.5753868000         1.3965428462         3.3479150326         0.0299192959
        1.5804735000         1.3965428462         3.3453631551         0.0299192959
        1.5853873000         1.4016475000         3.3530187875         0.1628939444
        1.5904234000         1.3914381925         3.3402594002        -0.1030553526
        1.5954015000         1.3990951731         3.3530187875         0.0964066201
        1.6003895000         1.3939905194         3.3479150326        -0.0365680283
        1.6053797000         1.3965428462         3.3453631551         0.0299192959
        1.6104006000         1.3939905194         3.3428112777        -0.0365680283
        1.6154128000         1.3914381925         3.3402594002        -0.1030553526
        1.6204703000         1.4016475000         3.3530187875         0.1628939444
        1.6253810000         1.3965428462         3.3453631551         0.0299192959
        1.6304327000         1.3939905194         3.3479150326        -0.0365680283
        1.6354513000         1.3939905194         3.3453631551        -0.0365680283
        1.6403803000         1.3990951731         3.3530187875         0.0964066201
        1.6455329000         1.3965428462         3.3453631551         0.0299192959
        1.6503993000         1.4016475000         3.3530187875         0.1628939444
        1.6553990000         1.3914381925         3.3377075228        -0.1030553526
        1.6604129000         1.4016475000         3.3530187875         0.1628939444
        1.6653947000         1.4016475000         3.3504669101         0.1628939444
        1.6703824000         1.4016475000         3.3504669101         0.1628939444
        1.6754175000         1.3965428462         3.3479150326         0.0299192959
        1.6803975000         1.3914381925         3.3402594002        -0.1030553526
        1.6854051000         1.3965428462         3.3402594002         0.0299192959
        1.6904060000         1.3888858657         3.3402594002        -0.1695426768
        1.6953968000         1.3965428462         3.3453631551         0.0299192959
        1.7004018000         1.4016475000         3.3530187875         0.1628939444
        1.7053853000         1.4016475000         3.3530187875         0.1628939444
        1.7104199000         1.3965428462         3.3402594002         0.0299192959
        1.7154006000         1.3888858657         3.3402594002        -0.1695426768
        1.7203944000         1.3888858657         3.3402594002        -0.1695426768
        1.7253946000         1.3939905194         3.3453631551        -0.0365680283
        1.7303886000         1.3939905194         3.3453631551        -0.0365680283
        1.7353867000         1.4041998268         3.3530187875         0.2293812686
        1.7403968000         1.3914381925         3.3428112777        -0.1030553526
        1.7453869000         1.3965428462         3.3504669101         0.0299192959
        1.7504005000         1.3888858657         3.3377075228        -0.1695426768
        1.7553895000         1.3965428462         3.3453631551         0.0299192959
        1.7604243000         1.3939905194         3.3453631551        -0.0365680283
        1.7653972000         1.3914381925         3.3428112777        -0.1030553526
        1.7704044000         1.3990951731         3.3530187875         0.0964066201
        1.7753886000         1.3888858657         3.3453631551        -0.1695426768
        1.7803962000         1.3965428462         3.3402594002         0.0299192959
        1.7854220000         1.4016475000         3.3530187875         0.1628939444
        1.7903901000         1.3965428462         3.3453631551         0.0299192959
        1.7953978000         1.4016475000         3.3530187875         0.1628939444
        1.8003871000         1.4016475000         3.3530187875         0.1628939444
        1.8053938000         1.3965428462         3.3428112777         0.0299192959
        1.8103967000         1.3888858657         3.3377075228        -0.1695426768
        1.8153844000         1.3965428462         3.3453631551         0.0299192959
        1.8203948000         1.3965428462         3.3428112777         0.0299192959
        1.8254036000         1.3965428462         3.3453631551         0.0299192959
        1.8303856000         1.3965428462         3.3479150326         0.0299192959
        1.8353929000         1.4016475000         3.3479150326         0.1628939444
        1.8404002000         1.3965428462         3.3428112777         0.0299192959
        1.8454339000         1.3965428462         3.3453631551         0.0299192959
        1.8504236000         1.4016475000         3.3530187875         0.1628939444
        1.8554037000         1.3965428462         3.3453631551         0.0299192959
        1.8604114000         1.3939905194         3.3453631551        -0.0365680283
        1.8654199000         1.3965428462         3.3453631551         0.0299192959
        1.8704258000         1.3939905194         3.3453631551        -0.0365680283
        1.8754128000         1.4016475000         3.3504669101         0.1628939444
        1.8804227000         1.3888858657         3.3402594002        -0.1695426768
        1.8854065000         1.4016475000         3.3530187875         0.1628939444
        1.8904728000         1.3939905194         3.3453631551        -0.0365680283
        1.8953920000         1.3965428462         3.3479150326         0.0299192959
        1.9003770000         1.4041998268         3.3530187875         0.2293812686
        1.9053860000         1.3888858657         3.3402594002        -0.1695426768
        1.9103969000         1.4041998268         3.3530187875         0.2293812686
        1.9154060000         1.3914381925         3.3402594002        -0.1030553526
        1.9203870000         1.3939905194         3.3479150326        -0.0365680283
        1.9254022000         1.3939905194         3.3479150326        -0.0365680283
        1.9303789000         1.3914381925         3.3402594002        -0.1030553526
        1.9353907000         1.4016475000         3.3504669101         0.1628939444
        1.9404017000         1.3888858657         3.3402594002        -0.1695426768
        1.9453863000         1.3939905194         3.3453631551        -0.0365680283
