% Stabilization Loop  omega_cmd=0 rad/s
% Kp_stab=1.3387  Ki_stab=39.0406  (Tustin integrator)
% LPF=OFF  fc=20.0 Hz
% Vg_offset=1.338950V  K_gimbal=26.049690  samples=601

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        1.0105637000       473.0285869588         3.2663616180         1.6772988005         4.3176284670       504.9988204827       502.0984307601        -4.9988204827         1.4070297842
        1.0154563000       493.9388373826         3.2927574520         1.6670894930         4.3431472416       489.7610482055       499.8424494544        10.2389517945         1.4044785871
        1.0204561000       484.9944939005         3.2814069673         1.6721941467         4.3890810359       497.3799343441       496.8437356364         2.6200656559         1.4019273900
        1.0254493000       507.3919737552         3.3100036239         1.6619848393         4.4171516879       482.1421620669       493.4574004505        17.8578379331         1.4019273900
        1.0304787000       467.1058069363         3.2589720356         1.6824034542         4.4503260949       512.6177066213       495.3328205747       -12.6177066213         1.3942737988
        1.0354641000       497.4718455184         3.2972660877         1.6670894930         4.4962598892       489.7610482055       498.1329250103        10.2389517945         1.4019273900
        1.0404838000       488.5275020363         3.2858795663         1.6721941467         4.5268824187       497.3799343441       495.9515595268         2.6200656559         1.3917226017
        1.0454541000       494.5104555072         3.2934859434         1.6696418199         4.5575049482       493.5704912748       495.7238112794         6.4295087252         1.3866202076
        1.0504346000       484.8224973096         3.2811895866         1.6747464736         4.5932312326       501.1893774134       496.5156276430        -1.1893774134         1.3917226017
        1.0554584000       539.3054152165         3.3517947595         1.6492232050         4.6238537621       463.0949467203       489.6434660944        36.9050532797         1.3917226017
        1.0604340000       502.7373219750         3.3040125619         1.6696418199         4.6595800465       493.5704912748       484.2356344985         6.4295087252         1.3942737988
        1.0655429000       498.5208725721         3.2986075850         1.6721941467         4.6978582084       497.3799343441       489.6094392696         2.6200656559         1.3917226017
        1.0705301000       449.7887380968         3.2375761007         1.6951650884         4.7208251056       531.6649219678       501.5206991797       -31.6649219678         1.4019273900
