% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339728V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.6854249000       509.4670008013         3.3126827427         1.6772988005         1.9545899400       503.8369403466       500.3560093566        -0.3560093566         1.3968249959
        0.6904757000       508.5835239753         3.3115414329         1.6747464736         1.9826605920       500.0274972773       501.1096178691        -1.1096178691         1.3942737988
        0.6954522000       508.9902035203         3.3120666810         1.6747464736         2.0132831215       500.0274972773       500.5922403805        -0.5922403805         1.3993761929
        0.7004715000       509.2005032054         3.3123383720         1.6747464736         2.0541131609       500.0274972773       500.3222285439        -0.3222285439         1.4044785871
        0.7054372000       503.2836502203         3.3047144177         1.6900604347         2.0872875679       522.8841556931       505.6453625692        -5.6453625692         1.4070297842
        0.7104797000       493.3626229040         3.2920234830         1.6900604347         2.1230138523       522.8841556931       513.8874786144       -13.8874786144         1.3891714046
        0.7154507000       484.5618162193         3.2808601836         1.6951650884         2.1561882593       530.5030418317       520.0102696700       -20.0102696700         1.3942737988
        0.7204434000       481.0973565890         3.2764895938         1.6824034542         2.1944664211       511.4558264852       520.4736412137       -20.4736412137         1.3917226017
        0.7254240000       486.8457751860         3.2837488388         1.6721941467         2.2199851957       496.2180542079       512.5193941750       -12.5193941750         1.3917226017
        0.7304559000       487.5667957318         3.2846619724         1.6875081079         2.2608152351       519.0747126238       510.1895373296       -10.1895373296         1.3866202076
        0.7354277000       483.3870342895         3.2793766416         1.6824034542         2.3016452744       511.4558264852       512.6163182365       -12.6163182365         1.3993761929
        0.7404340000       486.1530657123         3.2828721107         1.6721941467         2.3322678039       496.2180542079       508.4187708297        -8.4187708297         1.3942737988
        0.7454332000       491.3422863374         3.2894530301         1.6721941467         2.3577865785       496.2180542079       502.5854319464        -2.5854319464         1.3968249959
        0.7504487000       493.3132482657         3.2919606085         1.6747464736         2.3909609855       500.0274972773       500.4517715424        -0.4517715424         1.3968249959
        0.7554312000       496.4825629253         3.2960021630         1.6670894930         2.4292391474       488.5991680693       497.5168952357         2.4831047643         1.4019273900
        0.7604505000       501.5502253299         3.3024887380         1.6670894930         2.4573097994       488.5991680693       493.2532010411         6.7467989589         1.4019273900
        0.7654269000       506.0036373139         3.3082139837         1.6645371662         2.4930360838       484.7897250000       490.1173657558         9.8826342442         1.3917226017
        0.7706163000       507.2585654272         3.3098315535         1.6721941467         2.5313142457       496.2180542079       490.3021683918         9.6978316082         1.3968249959
        0.7754746000       503.5630846308         3.3050735372         1.6772988005         2.5695924076       503.8369403466       494.9519886359         5.0480113641         1.3917226017
        0.7804652000       499.6243044790         3.3000200392         1.6772988005         2.6027668146       503.8369403466       499.2000124116         0.7999875884         1.3866202076
        0.7854392000       494.2856051413         3.2931993409         1.6849557810         2.6359412215       515.2652695545       504.1490192990        -4.1490192990         1.3917226017
        0.7904804000       500.8664977952         3.3016118191         1.6517755319         2.6614599961       465.7425096535       497.6250856576         2.3749143424         1.3968249959
        0.7954357000       507.9834474249         3.3107667645         1.6772988005         2.6971862806       503.8369403466       491.4883142919         8.5116857081         1.3917226017
        0.8004984000       503.7340786656         3.3052933384         1.6747464736         2.7303606875       500.0274972773       496.4816959283         3.5183040717         1.4019273900
        0.8054545000       503.3882586481         3.3048488461         1.6721941467         2.7660869720       496.2180542079       497.2663198966         2.7336801034         1.4044785871
        0.8104672000       502.3361458522         3.3034974040         1.6772988005         2.8043651338       503.8369403466       498.5864786936         1.4135213064         1.3993761929
        0.8154548000       500.7810120802         3.3015022175         1.6747464736         2.8400914183       500.0274972773       500.1861253808        -0.1861253808         1.4019273900
        0.8204574000       497.8248311396         3.2977173433         1.6824034542         2.8681620703       511.4558264852       502.8423076437        -2.8423076437         1.3942737988
