% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.338197V  K_gimbal=26.049690  samples=12001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[rad/s]         Error[rad/s]           disturbance[V]      
       12.0867398000       185.2015405266         2.9354936496         1.3276300211         3.6031027785        -0.2752575223         0.2752575223         1.5856135795
       12.0911908000       204.3305568442         2.9566488299         1.3174207137         3.6158621658        -0.5412068192         0.5412068192         1.5932671707
       12.0955827000       187.9060381388         2.9384871021         1.3301823480         3.6311734306        -0.2087701981         0.2087701981         1.5881647766
       12.1005882000       198.0721853745         2.9497314091         1.3250776943         3.6311734306        -0.3417448465         0.3417448465         1.5983695649
       12.1058319000       213.5631864180         2.9668502162         1.3174207137         3.6464846953        -0.5412068192         0.5412068192         1.5881647766
       12.1104875000       205.5392572832         2.9579845348         1.3250776943         3.6566922051        -0.3417448465         0.3417448465         1.5932671707
       12.1155561000       212.6296687560         2.9658188449         1.3225253674         3.6694515924        -0.4082321708         0.4082321708         1.5932671707
       12.1206092000       228.6829493107         2.9835565684         1.3148683868         3.6745553474        -0.6076941434         0.6076941434         1.5983695649
       12.1255500000       208.6204153312         2.9613891497         1.3301823480         3.6898666121        -0.2087701981         0.2087701981         1.5907159736
       12.1305803000       218.7865625669         2.9726210890         1.3250776943         3.7128335092        -0.3417448465         0.3417448465         1.5932671707
       12.1354763000       213.2760896839         2.9665330263         1.3301823480         3.7281447740        -0.2087701981         0.2087701981         1.5983695649
       12.1409475000       231.8428264902         2.9870493195         1.3199730405         3.7281447740        -0.4747194950         0.4747194950         1.6060231561
       12.1456142000       206.4554387030         2.9589969370         1.3378393285         3.7460079162        -0.0093082254         0.0093082254         1.6060231561
       12.1505688000       198.1335682640         2.9497992702         1.3429439823         3.7638710584         0.1236664231        -0.1236664231         1.6034719590
       12.1554788000       222.2894970850         2.9764913976         1.3276300211         3.7715266908        -0.2752575223         0.2752575223         1.5932671707
       12.1606612000       207.8161551201         2.9605004949         1.3378393285         3.7791823232        -0.0093082254         0.0093082254         1.6085743532
       12.1654985000       224.6960533929         2.9791505682         1.3276300211         3.8021492203        -0.2752575223         0.2752575223         1.5907159736
       12.1704546000       197.6218270721         2.9492335117         1.3454963091         3.8098048527         0.1901537473        -0.1901537473         1.6009207619
       12.1757794000       217.0151815966         2.9706640221         1.3327346748         3.8327717498        -0.1422828738         0.1422828738         1.6060231561
       12.1811289000       218.2184597506         2.9719934302         1.3327346748         3.8429792597        -0.1422828738         0.1422828738         1.6085743532
       12.1856007000       215.2214431192         2.9686822791         1.3352870017         3.8531867695        -0.0757955496         0.0757955496         1.6136767473
       12.1909042000       236.8639156885         2.9926010308         1.3225253674         3.8633942793        -0.4082321708         0.4082321708         1.6111255502
       12.1958140000       231.9157223166         2.9871299031         1.3276300211         3.8710499117        -0.2752575223         0.2752575223         1.6085743532
       12.2007541000       230.0432647077         2.9850600978         1.3301823480         3.8914649314        -0.2087701981         0.2087701981         1.6085743532
       12.2064820000       206.6070536610         2.9591644716         1.3454963091         3.9144318285         0.1901537473        -0.1901537473         1.6111255502
       12.2108941000       251.2021768973         3.0084708234         1.3174207137         3.9144318285        -0.5412068192         0.5412068192         1.6136767473
       12.2160141000       201.1752999095         2.9531616415         1.3506009628         3.9425024806         0.3231283957        -0.3231283957         1.6136767473
       12.2213503000       244.6458641234         3.0012106975         1.3225253674         3.9476062355        -0.4082321708         0.4082321708         1.6162279444
       12.2258234000       210.2956072545         2.9632400616         1.3454963091         3.9629175002         0.1901537473        -0.1901537473         1.6213303385
       12.2307492000       229.6889617789         2.9846684819         1.3327346748         3.9756768875        -0.1422828738         0.1422828738         1.6009207619
       12.2356750000       222.4916503623         2.9767147624         1.3378393285         3.9935400297        -0.0093082254         0.0093082254         1.6162279444
       12.2406338000       235.1712538498         2.9907292312         1.3301823480         4.0062994170        -0.2087701981         0.2087701981         1.6136767473
       12.2456342000       207.5347480178         2.9601895530         1.3480486360         4.0267144367         0.2566410715        -0.2566410715         1.6085743532
       12.2505301000       234.7664126017         2.9902815859         1.3301823480         4.0471294564        -0.2087701981         0.2087701981         1.6085743532
       12.2563634000       232.3316754816         2.9875897323         1.3327346748         4.0471294564        -0.1422828738         0.1422828738         1.6187791415
       12.2613788000       241.9355432061         2.9982112516         1.3276300211         4.0675444760        -0.2752575223         0.2752575223         1.6187791415
       12.2655727000       223.2619064559         2.9775658531         1.3403916554         4.0930632506         0.0571790988        -0.0571790988         1.6187791415
       12.2705118000       235.3792304322         2.9909592033         1.3327346748         4.0956151281        -0.1422828738         0.1422828738         1.6111255502
       12.2754743000       232.3822138009         2.9876456025         1.3352870017         4.1058226379        -0.0757955496         0.0757955496         1.6162279444
       12.2804856000       237.2235072289         2.9929987158         1.3327346748         4.1236857801        -0.1422828738         0.1422828738         1.6034719590
       12.2855007000       217.4253114564         2.9711171409         1.3454963091         4.1466526773         0.1901537473        -0.1901537473         1.6111255502
       12.2904805000       253.6198451221         3.0111497998         1.3225253674         4.1466526773        -0.4082321708         0.4082321708         1.6162279444
       12.2954699000       240.2710621796         2.9963696781         1.3327346748         4.1645158195        -0.1422828738         0.1422828738         1.6060231561
       12.3006887000       228.8734559777         2.9837671243         1.3403916554         4.1798270842         0.0571790988        -0.0571790988         1.6136767473
       12.3056361000       228.3898955980         2.9832326779         1.3403916554         4.1951383490         0.0571790988        -0.0571790988         1.6111255502
       12.3107660000       206.9048612919         2.9594935461         1.3531532897         4.2104496138         0.3896157200        -0.3896157200         1.6034719590
       12.3155872000       237.2122616387         2.9929862787         1.3327346748         4.2206571236        -0.1422828738         0.1422828738         1.6085743532
       12.3205332000       221.6143606515         2.9757454302         1.3429439823         4.2359683883         0.1236664231        -0.1236664231         1.6060231561
       12.3257122000       216.3682259753         2.9699492566         1.3454963091         4.2589352855         0.1901537473        -0.1901537473         1.6009207619
       12.3305150000       214.7601065733         2.9681725898         1.3454963091         4.2767984277         0.1901537473        -0.1901537473         1.6085743532
       12.3356004000       229.9531663125         2.9849605100         1.3352870017         4.2767984277        -0.0757955496         0.0757955496         1.6060231561
       12.3411275000       201.1921014582         2.9531802123         1.3531532897         4.3074209572         0.3896157200        -0.3896157200         1.5958183678
       12.3459263000       227.2992070197         2.9820272669         1.3352870017         4.3176284670        -0.0757955496         0.0757955496         1.5983695649
       12.3505003000       223.7399108771         2.9780940329         1.3378393285         4.3227322219        -0.0093082254         0.0093082254         1.6085743532
       12.3555598000       215.4180404381         2.9688994817         1.3429439823         4.3508028740         0.1236664231        -0.1236664231         1.6060231561
       12.3609314000       210.1719057620         2.9631033870         1.3454963091         4.3584585064         0.1901537473        -0.1901537473         1.5983695649
       12.3654931000       225.3649655012         2.9798897387         1.3352870017         4.3635622613        -0.0757955496         0.0757955496         1.6009207619
