% Stabilization Loop  omega_c=0 rad/s
% Kp_stab=1.0288  Ki_stab=29.5203  (Tustin integrator)
% Vg_offset=1.339141V  K_gimbal=26.049690  samples=2001

Time[s]               OmegaU[deg/s]           Vc[V]                  Vg[V]                  Pot[V]                 Omega_h[deg/s]         omega_LPF[deg/s]       Error[deg/s]           disturbance[V]      
        0.4554383000        92.3488159809         2.8313811229         1.4016475000         4.9964278711        93.2932607673        96.0061417329         3.9938582671         1.3968249959
        0.4604500000        73.0225820278         2.8091661878         1.4348277491         5.0015316260       142.8160206683       114.0686484237       -14.0686484237         1.4044785871
        0.4654501000        65.1982333423         2.8000959524         1.4246184417         5.0066353810       127.5782483911       119.2815916175       -19.2815916175         1.3968249959
        0.4704492000        71.7884721974         2.8077386470         1.4041998268         5.0066353810        97.1027038366       110.7234342788       -10.7234342788         1.3993761929
        0.4754480000        76.0007538653         2.8126065271         1.4041998268         4.9887722387        97.1027038366       105.4676092192        -5.4676092192         1.3942737988
        0.4805255000        75.5111279278         2.8120413634         1.4093044805         1.1150222560       104.7215899753       105.1797431129        -5.1797431129         1.3917226017
        0.4854376000        79.8038134457         2.8169904517         1.4016475000         1.1099185011        93.2932607673       100.5931115774        -0.5931115774         1.3942737988
        0.4904355000        79.5805325005         2.8167333514         1.4067521537         1.1175741334       100.9121469059       100.7162175945        -0.7162175945         1.3968249959
        0.4954620000        87.4952868049         2.8258259460         1.3939905194         1.1048147461        81.8649315594        93.4420804277         6.5579195723         1.4044785871
        0.5004406000        88.5265623908         2.8270075876         1.4016475000         1.1124703785        93.2932607673        93.3846554531         6.6153445469         1.3968249959
        0.5054549000        96.0249453088         2.8355787205         1.3914381925         1.1099185011        78.0554884901        87.4695967704        12.5304032296         1.3917226017
        0.5104358000        97.0174810848         2.8367106168         1.3990951731         1.1073666236        89.4838176980        88.2468232834        11.7531767166         1.3993761929
        0.5154467000        94.9844442166         2.8343914749         1.4041998268         1.1201260109        97.1027038366        91.6640378839         8.3359621161         1.3968249959
        0.5204475000        97.1424413178         2.8368530800         1.3990951731         1.1124703785        89.4838176980        90.8227573126         9.1772426874         1.3917226017
        0.5254313000        94.2043839052         2.8335009612         1.4067521537         0.0049555613       100.9121469059        94.7159454853         5.2840545147         1.3993761929
        0.5304483000        98.8311454648         2.8387773913         1.3965428462        -0.0027000711        85.6743746287        91.2270786519         8.7729213481         1.4044785871
        0.5354400000        99.2469638694         2.8392509616         1.4016475000        -0.0027000711        93.2932607673        92.0243554049         7.9756445951         1.3917226017
        0.5404182000        98.2635465983         2.8381307930         1.4041998268        -0.0052519485        97.1027038366        93.9839354041         6.0160645959         1.4044785871
        0.5454532000       104.3076787363         2.8450064010         1.3939905194        -0.0052519485        81.8649315594        89.3075809035        10.6924190965         1.3891714046
        0.5504299000       104.1901482801         2.8448729041         1.4016475000        -0.0052519485        93.2932607673        90.8455333795         9.1544666205         1.3993761929
        0.5554401000       101.2584193925         2.8415403346         1.4067521537         0.0024036839       100.9121469059        94.7299329616         5.2700670384         1.4044785871
        0.5604287000        99.4060041396         2.8394320633         1.4067521537        -0.0001481936       100.9121469059        97.1154610440         2.8845389560         1.4044785871
        0.5654414000        93.3541307462         2.8325298834         1.4144091342         0.0049555613       112.3404761139       102.9903306831        -2.9903306831         1.3993761929
        0.5704393000        90.5554059491         2.8293302218         1.4118568074         0.0049555613       108.5310330446       105.1283189828        -5.1283189828         1.3942737988
        0.5754612000        89.9715053185         2.8286620418         1.4093044805        -0.0001481936       104.7215899753       104.9713746457        -4.9713746457         1.4044785871
        0.5804523000        87.7232305240         2.8260871855         1.4118568074         0.0024036839       108.5310330446       106.3449384127        -6.3449384127         1.4070297842
        0.5854360000        87.4773780040         2.8258054198         1.4093044805         0.0024036839       104.7215899753       105.7185376896        -5.7185376896         1.4044785871
        0.5905104000        87.0574746874         2.8253240864         1.4093044805         0.0024036839       104.7215899753       105.3338459286        -5.3338459286         1.3968249959
        0.5954234000        89.7722131522         2.8284339336         1.4041998268         0.0024036839        97.1027038366       102.1576988740        -2.1576988740         1.3917226017
        0.6004376000        89.9836661642         2.8286759601         1.4067521537         0.0024036839       100.9121469059       101.6770783027        -1.6770783027         1.4070297842
        0.6055218000        91.6823404793         2.8306191970         1.4041998268        -0.0027000711        97.1027038366        99.9119665084         0.0880334916         1.4070297842
        0.6104505000        89.6490317149         2.8282929283         1.4093044805         0.0049555613       104.7215899753       101.7678537276        -1.7678537276         1.3993761929
        0.6154433000        89.7521629199         2.8284109829         1.4067521537         0.0100593162       100.9121469059       101.4376625256        -1.4376625256         1.4044785871
        0.6205078000        86.5220160002         2.8247101227         1.4118568074         0.0253705810       108.5310330446       104.1747781809        -4.1747781809         1.4044785871
        0.6254450000        82.4316342291         2.8200136803         1.4144091342         0.0330262134       112.3404761139       107.3256723277        -7.3256723277         1.3993761929
        0.6304382000        84.0790528505         2.8219065560         1.4067521537         0.0304743359       100.9121469059       104.8508881908        -4.8508881908         1.3993761929
        0.6354567000        78.5557681883         2.8155529199         1.4169614611         0.0432337232       116.1499191832       109.2108401398        -9.2108401398         1.4044785871
        0.6404890000        74.2439334519         2.8105778605         1.4169614611         0.0559931105       116.1499191832       111.8884194137       -11.8884194137         1.3942737988
        0.6454643000        73.9176186856         2.8102008041         1.4118568074         0.0585449879       108.5310330446       110.5929062627       -10.5929062627         1.3942737988
        0.6504547000        71.6105686760         2.8075327658         1.4144091342         0.0738562527       112.3404761139       111.2672402462       -11.2672402462         1.3942737988
        0.6555417000        75.9739514813         2.8125755943         1.4041998268         0.0636487429        97.1027038366       105.8015770254        -5.8015770254         1.3968249959
        0.6605409000        77.1978871922         2.8139876206         1.4067521537         0.0789600076       100.9121469059       103.9148948494        -3.9148948494         1.4044785871
        0.6654502000        77.8975921297         2.8147943707         1.4067521537         0.0866156400       100.9121469059       102.7562258664        -2.7562258664         1.3993761929
        0.6704545000        84.7584143362         2.8226866008         1.3965428462         0.0917193949        85.6743746287        96.1648597000         3.8351403000         1.4044785871
        0.6754762000        84.9254715841         2.8228783686         1.4041998268         0.0993750273        97.1027038366        96.5267451903         3.4732548097         1.3917226017
        0.6804643000        86.8138476476         2.8250447641         1.4016475000         0.1019269048        93.2932607673        95.2790420270         4.7209579730         1.3891714046
        0.6854750000        80.2517095291         2.8175060829         1.4144091342         0.1172381695       112.3404761139       101.8625298367        -1.8625298367         1.3840690105
        0.6905545000        86.8642106528         2.8251025094         1.3965428462         0.1146862920        85.6743746287        95.6160137507         4.3839862493         1.3993761929
        0.6954420000        80.3957030089         2.8176718226         1.4144091342         0.1325494343       112.3404761139       102.0694744347        -2.0694744347         1.3968249959
        0.7004627000        85.4449396204         2.8234745544         1.3990951731         0.1274456793        89.4838176980        97.2130527950         2.7869472050         1.3968249959
        0.7054429000        82.6617146054         2.8202781531         1.4093044805         0.1376531892       104.7215899753       100.1103686211        -0.1103686211         1.4044785871
        0.7104262000        82.3042994024         2.8198672957         1.4067521537         0.1529644539       100.9121469059       100.4197504431        -0.4197504431         1.3968249959
        0.7154328000        85.2743802599         2.8232788260         1.4016475000         0.1529644539        93.2932607673        97.6698551138         2.3301448862         1.3993761929
        0.7204254000        92.3426767032         2.8313741056         1.3939905194         0.1555163314        81.8649315594        91.5712164516         8.4287835484         1.3866202076
        0.7254504000        84.7502875474         2.8226772714         1.4144091342         0.1733794736       112.3404761139        99.5854412294         0.4145587706         1.3993761929
        0.7304414000        82.6262509425         2.8202373907         1.4093044805         0.1810351060       104.7215899753       101.5673246095        -1.5673246095         1.3891714046
        0.7354477000        85.9151950937         2.8240141034         1.4016475000         0.1784832285        93.2932607673        98.3746153587         1.6253846413         1.3891714046
        0.7404383000        86.6962518444         2.8249099246         1.4041998268         0.1886907384        97.1027038366        97.8838234383         2.1161765617         1.4044785871
        0.7454572000        88.9617037018         2.8275059658         1.4016475000         0.1937944933        93.2932607673        96.1124651087         3.8875348913         1.3917226017
        0.7504495000        85.8726709884         2.8239653194         1.4093044805         0.2014501257       104.7215899753        99.4344642046         0.5655357954         1.4044785871
        0.7554325000        67.4990257456         2.8027679661         1.4348277491         0.2116576355       142.8160206683       116.1740856628       -16.1740856628         1.3968249959
        0.7604764000        71.6050516646         2.8075263807         1.4067521537         0.2091057580       100.9121469059       110.2849682974       -10.2849682974         1.4044785871
        0.7654600000        72.4539701346         2.8085085939         1.4093044805         0.2218651453       104.7215899753       108.1382300351        -8.1382300351         1.3942737988
        0.7704577000        77.5686965383         2.8144152022         1.4016475000         0.2244170228        93.2932607673       102.4100084968        -2.4100084968         1.4019273900
        0.7754819000        77.8502559362         2.8147398038         1.4067521537         0.2371764101       100.9121469059       101.8320293261        -1.8320293261         1.3942737988
        0.7804357000        77.9712188800         2.8148792410         1.4067521537         0.2448320425       100.9121469059       101.4770747151        -1.4770747151         1.3815178134
        0.7854478000        74.7520229741         2.8111648019         1.4118568074         0.2499357974       108.5310330446       104.1989824068        -4.1989824068         1.3815178134
        0.7904368000        78.7721957445         2.8158022858         1.4016475000         0.2499357974        93.2932607673        99.9907965588         0.0092034412         1.3993761929
        0.7954482000        76.7607905836         2.8134834762         1.4093044805         0.2703508170       104.7215899753       101.8162656624        -1.8162656624         1.3968249959
        0.8004325000        75.2566076205         2.8117475079         1.4093044805         0.2652470621       104.7215899753       102.9373418333        -2.9373418333         1.3968249959
        0.8054350000        70.8223935804         2.8066203543         1.4144091342         0.2831102043       112.3404761139       106.5657249806        -6.5657249806         1.3917226017
        0.8104447000        72.2586543340         2.8082826578         1.4067521537         0.2805583269       100.9121469059       104.3841813808        -4.3841813808         1.3993761929
        0.8154503000        71.4679887085         2.8073677461         1.4093044805         0.2831102043       104.7215899753       104.5143770817        -4.5143770817         1.3968249959
        0.8204530000        75.5757965858         2.8121160189         1.4016475000         0.2907658367        93.2932607673       100.1844900340        -0.1844900340         1.3993761929
        0.8254491000        75.2389766511         2.8117271504         1.4067521537         0.3111808564       100.9121469059       100.4652706602        -0.4652706602         1.3993761929
        0.8304250000        73.3594081759         2.8095556109         1.4093044805         0.3137327338       104.7215899753       102.1076546581        -2.1076546581         1.3840690105
        0.8354389000        71.9361901366         2.8079095776         1.4093044805         0.3188364888       104.7215899753       103.1162926898        -3.1162926898         1.3942737988
        0.8404575000        72.4139966361         2.8084623560         1.4067521537         0.3264921211       100.9121469059       102.2657799589        -2.2657799589         1.3840690105
        0.8454389000        75.8970125778         2.8124867955         1.4016475000         0.3290439986        93.2932607673        98.8035580601         1.1964419399         1.4044785871
        0.8504466000        75.1764888874         2.8116549973         1.4067521537         0.3418033859       100.9121469059        99.6171982788         0.3828017212         1.3917226017
        0.8554543000        74.6820420882         2.8110839717         1.4067521537         0.3469071408       100.9121469059       100.1168795165        -0.1168795165         1.4044785871
        0.8604351000        56.4980117744         2.7899539040         1.4348277491         0.3596665281       142.8160206683       116.5931776887       -16.5931776887         1.3993761929
        0.8654468000        62.3412518339         2.7967722275         1.4041998268         0.3545627732        97.1027038366       109.0723974097        -9.0723974097         1.4044785871
        0.8704628000        64.4740129536         2.7992540272         1.4067521537         0.3673221605       100.9121469059       105.9236052600        -5.9236052600         1.3968249959
        0.8754429000        68.9733869289         2.8044780579         1.4016475000         0.3698740379        93.2932607673       101.0499399762        -1.0499399762         1.3993761929
        0.8804282000        75.3601030124         2.8118670038         1.3965428462         0.3749777929        85.6743746287        95.1169775700         4.8830224300         1.3891714046
        0.8854439000        76.8567630893         2.8135941820         1.4016475000         0.3902890576        93.2932607673        94.4132607970         5.5867392030         1.3968249959
        0.8904400000        74.9163577680         2.8113545999         1.4067521537         0.4004965675       100.9121469059        96.9209830235         3.0790169765         1.3917226017
        0.8954355000        75.2935103461         2.8117901167         1.4041998268         0.4056003224        97.1027038366        96.9911035510         3.0088964490         1.3993761929
        0.9005207000        77.3109123503         2.8141179607         1.4016475000         0.4056003224        93.2932607673        95.5642186382         4.4357813618         1.4044785871
        0.9054252000        77.3110763438         2.8141181498         1.4041998268         0.4132559548        97.1027038366        96.1578732219         3.8421267781         1.3917226017
        0.9104330000        82.3384898532         2.8199066023         1.3965428462         0.4158078322        85.6743746287        92.1126103887         7.8873896113         1.3993761929
        0.9154397000        83.0003608220         2.8206673541         1.4016475000         0.4260153420        93.2932607673        92.5681874132         7.4318125868         1.4044785871
        0.9204481000        82.1680519241         2.8197106528         1.4041998268         0.4336709744        97.1027038366        94.3179192028         5.6820807972         1.4044785871
        0.9254461000        78.5803892876         2.8155812898         1.4093044805         0.4438784843       104.7215899753        98.3323789111         1.6676210889         1.4019273900
        0.9304269000        74.4874127660         2.8108591496         1.4118568074         0.4540859941       108.5310330446       102.2677289421        -2.2677289421         1.3917226017
        0.9354418000        82.8332677636         2.8204753264         1.3939905194         0.4464303617        81.8649315594        94.3949107974         5.6050892026         1.3891714046
        0.9404174000        85.7500612523         2.8238246535         1.3990951731         0.4591897490        89.4838176980        92.4998695372         7.5001304628         1.4019273900
        0.9454357000        81.6572379723         2.8191232590         1.4093044805         0.4719491363       104.7215899753        97.2158592429         2.7841407571         1.3993761929
        0.9504416000        83.7370902671         2.8215137951         1.4016475000         0.4719491363        93.2932607673        95.7022479536         4.2977520464         1.3917226017
        0.9554447000        99.9832652667         2.8400892733         1.3786765582         0.4719491363        59.0082731436        81.5431605859        18.4568394141         1.3993761929
        0.9604378000        99.3290900789         2.8393444819         1.3990951731         0.4770528912        89.4838176980        84.6072183335        15.3927816665         1.3993761929
        0.9654673000        89.8016945050         2.8284676794         1.4144091342         0.5000197884       112.3404761139        95.3086378972         4.6913621028         1.3917226017
        0.9704410000        88.1100773664         2.8265304608         1.4067521537         0.4974679109       100.9121469059        97.4708613694         2.5291386306         1.3942737988
        0.9754364000        87.0192525061         2.8252802666         1.4067521537         0.5051235433       100.9121469059        98.7987486539         1.2012513461         1.4044785871
        0.9804484000        86.2973924811         2.8244525098         1.4067521537         0.5102272982       100.9121469059        99.6142446760         0.3857553240         1.3942737988
        0.9854287000        84.1813591600         2.8220240444         1.4093044805         0.5204348080       104.7215899753       101.5850136833        -1.5850136833         1.3968249959
        0.9904374000        85.8544525336         2.8239444186         1.4041998268         0.5306423179        97.1027038366        99.8554268218         0.1445731782         1.3993761929
        0.9955080000        85.4261995719         2.8234530499         1.4067521537         0.5280904404       100.9121469059       100.2631829199        -0.2631829199         1.3968249959
