% Designation Loop  psi_cmd=+8.000deg  (absolute, NEUTRAL ref)
% Kp=57.6403  Kd=1.7943  K_pot=68.073520deg/V
% Vg_offset=1.337814V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Psi[deg]            
        0.9704276000      -167.3840838146         2.0820184597         1.3097637331         2.6793231383        -0.7306956933        12.2071572448
        0.9754379000       -37.9962091308         2.2507130767         1.2689265034         2.6742193834        -1.7944928809        11.8597266823
        0.9805045000       292.3085935831         3.0266618525         1.1642811023         2.6614599961        -4.5204731742        10.9911502760
        0.9855053000       420.2584800633         3.1586625608         1.1464148143         2.6410449765        -4.9858844438         9.6014280261
        0.9904701000       411.9853758554         3.1501726251         1.1719380829         2.6257337117        -4.3210112015         8.5591363386
        0.9954574000       447.9008609759         3.1870926305         1.1846997172         2.6078705695        -3.9885745804         7.3431293699
        1.0004805000       426.4368541601         3.1650071017         1.2076706589         2.5976630597        -3.3901886623         6.6482682450
        1.0054714000       486.0355805957         3.2266184438         1.2153276394         2.5772480400        -3.1907266896         5.2585459950
        1.0104002000       485.0769217934         3.2256186222         1.2306416006         2.5670405302        -2.7918027443         4.5636848701
        1.0154582000       413.5478684470         3.1517756721         1.2536125423         2.5695924076        -2.1934168262         4.7374001513
        1.0204695000       436.2724509597         3.1751175716         1.2638218497         2.5568330203        -1.9274675293         3.8688237451
        1.0254696000       404.7954348379         3.1427977408         1.2867927914         2.5491773879        -1.3290816113         3.3476779013
        1.0304473000       340.1014974960         3.0763237558         1.3072114063         2.5517292654        -0.7971830175         3.5213931826
        1.0354590000       329.1298293875         3.0649835977         1.3225253674         2.5440736330        -0.3982590721         3.0002473389
        1.0404469000       324.9932772835         3.0606999477         1.3352870017         2.5364180006        -0.0658224510         2.4791014951
        1.0454606000       199.7419547037         2.9276231823         1.3633625971         2.5491773879         0.6655381155         3.3476779013
        1.0503844000       161.9091519786         2.8856481052         1.3812288851         2.5466255105         1.1309493851         3.1739626201
