% Designation Loop  psi_cmd=-20.000deg  (absolute, NEUTRAL ref)
% Kp=85.3137  Kd=2.4753  K_pot=68.073520deg/V
% Vg_offset=1.339537V  K_gimbal=26.049690  samples=1001

Time[s]              OmegaCmd[deg/s]      Vc[V]                Vg[V]                Pot[V]               Omega[deg/s]         Psi[deg]            
        1.2854274000        38.5947008824         2.7688811045         1.3327346748         2.2148814408       -10.1521657797       -20.1578326615
        1.2904612000        38.5947008824         2.7688811045         1.3327346748         2.2148814408       -10.1521657797       -20.1578326615
        1.2954387000       -24.7250066039         2.2636693414         1.3378393285         2.2225370732        -2.5332796411       -19.6366868178
        1.3004237000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.3054394000       -58.4041435933         2.2066197319         1.3429439823         2.2250889506         5.0856064975       -19.4629715365
        1.3104406000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.3154330000        29.1652750120         2.7576639644         1.3352870017         2.2148814408        -6.3427227104       -20.1578326615
        1.3204481000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.3254505000       -46.2701319516         2.2266222500         1.3557056165         2.2148814408        24.1328218441       -20.1578326615
        1.3304307000        10.3064232711         2.6316611478         1.3403916554         2.2148814408         1.2761634282       -20.1578326615
        1.3354412000        25.1267085196         2.7528331124         1.3403916554         2.2123295633         1.2761634282       -20.3315479428
        1.3405604000        68.2352713794         2.8036221360         1.3327346748         2.2097776859       -10.1521657797       -20.5052632240
        1.3454314000        58.8058455090         2.7926501899         1.3352870017         2.2097776859        -6.3427227104       -20.5052632240
        1.3504544000       -23.3727137183         2.2660634096         1.3454963091         2.2174333183         8.8950495668       -19.9841173803
        1.3554233000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.3604742000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.3654447000        68.2352713794         2.8036221360         1.3327346748         2.2097776859       -10.1521657797       -20.5052632240
        1.3704682000       -28.7635730963         2.2565691519         1.3429439823         2.2199851957         5.0856064975       -19.8104020990
        1.3754523000       -23.3727137183         2.2660634096         1.3454963091         2.2174333183         8.8950495668       -19.9841173803
        1.3804875000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.3854438000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.3904824000        15.6972826492         2.6956244579         1.3429439823         2.2123295633         5.0856064975       -20.3315479428
        1.3954391000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.4004493000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.4054306000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        1.4104454000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.4154415000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.4204432000        29.1652750120         2.7576639644         1.3352870017         2.2148814408        -6.3427227104       -20.1578326615
        1.4254425000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.4304379000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.4354403000        68.2352713794         2.8036221360         1.3327346748         2.2097776859       -10.1521657797       -20.5052632240
        1.4404181000       -38.1929989668         2.2402745104         1.3454963091         2.2199851957         8.8950495668       -19.8104020990
        1.4454640000       -38.1929989668         2.2402745104         1.3454963091         2.2199851957         8.8950495668       -19.8104020990
        1.4504406000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.4554464000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        1.4604330000       -13.9432878478         2.3439348905         1.3429439823         2.2174333183         5.0856064975       -19.9841173803
        1.4654468000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.4704297000       -34.1544324744         2.2472055205         1.3403916554         2.2225370732         1.2761634282       -19.6366868178
        1.4754433000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.4804183000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.4854526000        34.5561343900         2.7640873277         1.3378393285         2.2123295633        -2.5332796411       -20.3315479428
        1.4904434000        23.7744156339         2.7512118551         1.3327346748         2.2174333183       -10.1521657797       -19.9841173803
        1.4954613000       -23.3727137183         2.2660634096         1.3454963091         2.2174333183         8.8950495668       -19.9841173803
        1.5004435000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.5054630000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.5104301000        43.9855602605         2.7752563586         1.3352870017         2.2123295633        -6.3427227104       -20.3315479428
        1.5154731000        62.8444120014         2.7973580587         1.3301823480         2.2123295633       -13.9616088490       -20.3315479428
        1.5204513000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        1.5254374000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.5304500000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.5354544000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        1.5404349000        77.6646972499         2.8145258850         1.3301823480         2.2097776859       -13.9616088490       -20.5052632240
        1.5454723000        23.7744156339         2.7512118551         1.3327346748         2.2174333183       -10.1521657797       -19.9841173803
        1.5504493000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.5554461000       -13.9432878478         2.3439348905         1.3429439823         2.2174333183         5.0856064975       -19.9841173803
        1.5604211000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
        1.5654414000        19.7358491415         2.7435426214         1.3378393285         2.2148814408        -2.5332796411       -20.1578326615
        1.5704271000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.5754554000        19.7358491415         2.7435426214         1.3378393285         2.2148814408        -2.5332796411       -20.1578326615
        1.5804709000       -13.9432878478         2.3439348905         1.3429439823         2.2174333183         5.0856064975       -19.9841173803
        1.5854624000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.5904349000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
        1.5954150000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.6004533000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        1.6054318000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.6104480000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.6154302000        68.2352713794         2.8036221360         1.3327346748         2.2097776859       -10.1521657797       -20.5052632240
        1.6204433000       -70.5198430705         2.1872248922         1.3582579434         2.2174333183        27.9422649134       -19.9841173803
        1.6254280000        23.7744156339         2.7512118551         1.3327346748         2.2174333183       -10.1521657797       -19.9841173803
        1.6304427000        92.4849824984         2.8315367560         1.3301823480         2.2072258084       -13.9616088490       -20.6789785052
        1.6354409000        34.5561343900         2.7640873277         1.3378393285         2.2123295633        -2.5332796411       -20.3315479428
        1.6404634000       -38.1929989668         2.2402745104         1.3454963091         2.2199851957         8.8950495668       -19.8104020990
        1.6454403000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
        1.6504507000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.6554290000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
        1.6604414000        -9.9047213554         2.3918530540         1.3378393285         2.2199851957        -2.5332796411       -19.8104020990
        1.6654475000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.6704692000       -19.3341472259         2.2799715804         1.3403916554         2.2199851957         1.2761634282       -19.8104020990
        1.6754248000       -43.5838583448         2.2311320810         1.3429439823         2.2225370732         5.0856064975       -19.6366868178
        1.6804433000        62.8444120014         2.7973580587         1.3301823480         2.2123295633       -13.9616088490       -20.3315479428
        1.6854407000       -53.0132842153         2.2154329561         1.3454963091         2.2225370732         8.8950495668       -19.6366868178
        1.6904512000       107.3052677469         2.8484085787         1.3301823480         2.2046739310       -13.9616088490       -20.8526937865
        1.6954402000       -34.1544324744         2.2472055205         1.3403916554         2.2225370732         1.2761634282       -19.6366868178
        1.7004434000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.7054282000        77.6646972499         2.8145258850         1.3301823480         2.2097776859       -13.9616088490       -20.5052632240
        1.7104545000        18.3835562559         2.7274974748         1.3301823480         2.2199851957       -13.9616088490       -19.8104020990
        1.7154523000        -4.5138619774         2.4558163641         1.3403916554         2.2174333183         1.2761634282       -19.9841173803
        1.7204393000        58.8058455090         2.7926501899         1.3352870017         2.2097776859        -6.3427227104       -20.5052632240
        1.7254471000        68.2352713794         2.8036221360         1.3327346748         2.2097776859       -10.1521657797       -20.5052632240
        1.7304604000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.7354377000         4.9155638931         2.5676978377         1.3378393285         2.2174333183        -2.5332796411       -19.9841173803
        1.7404542000        53.4149861309         2.7863450131         1.3327346748         2.2123295633       -10.1521657797       -20.3315479428
        1.7454639000       -57.0518507077         2.2088196745         1.3506009628         2.2199851957        16.5139357054       -19.8104020990
        1.7504401000       -82.6538547123         2.1683461966         1.3454963091         2.2276408281         8.8950495668       -19.2892562553
        1.7554323000        66.8829784938         2.8020529257         1.3250776943         2.2148814408       -21.5804949876       -20.1578326615
        1.7604448000       -28.7635730963         2.2565691519         1.3429439823         2.2199851957         5.0856064975       -19.8104020990
        1.7654303000       -20.6864401115         2.2708441260         1.3327346748         2.2250889506       -10.1521657797       -19.4629715365
        1.7704812000        72.2738378718         2.8083002227         1.3276300211         2.2123295633       -17.7710519183       -20.3315479428
        1.7754378000       -67.8335694638         2.1914769854         1.3454963091         2.2250889506         8.8950495668       -19.4629715365
