% K_lin=7.278100  p_cw=[-2.838900 33.414700 -70.041400]  p_ccw=[2.963600 3.934100 -23.977500]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        0.9900141000         0.9471039915         3.1401782380         1.5649964188         4.7591032674         5.9170394196         6.8931175606
        0.9950083000         0.9490994303         3.1411102303         1.5879673605         4.7871739195         6.5154253376         6.9076405635
        1.0000086000         0.9510598558         3.1420261776         1.5752057262         4.8126926941         6.1829887165         6.9219087366
        1.0050097000         0.9529830353         3.1429250202         1.5598917651         4.8229002039         5.7840647711         6.9359058289
        1.0100073000         0.9548672696         3.1438059466         1.5803103799         4.8560746109         6.3159633649         6.9496194749
        1.0150115000         0.9567162573         3.1446706697         1.5803103799         4.8841452629         6.3159633649         6.9630765924
        1.0200161000         0.9585275553         3.1455180309         1.5598917651         4.9071121601         5.7840647711         6.9762594002
        1.0250071000         0.9602961748         3.1463456793         1.5828627068         4.9326309346         6.3824506891         6.9891315900
        1.0300147000         0.9620327135         3.1471585584         1.5879673605         4.9581497092         6.5154253376         7.0017702924
        1.0350083000         0.9637264620         3.1479516399         1.5675487456         4.9836684838         5.9835267438         7.0140975634
        1.0400090000         0.9653845888         3.1487282644         1.5803103799         5.0040835035         6.3159633649         7.0261655759
        1.0450096000         0.9670045612         3.1494872314         1.5930720142         5.0142910133         6.6483999860         7.0379558967
        1.0500164000         0.9685882861         3.1502294198         1.5496824576         4.9989797486         5.5181154742         7.0494824053
        1.0550128000         0.9701304986         3.1509523476         1.5956243410         5.0091872584         6.7148873103         7.0607067816
        1.0600175000         0.9716369336         3.1516586890         1.5854150336         4.9989797486         6.4489380134         7.0716707662
        1.0650092000         0.9731011745         3.1523454213         1.5726533993         4.9989797486         6.1165013922         7.0823276579
        1.0700163000         0.9745314664         3.1530163980         1.5803103799         1.0946072363         6.3159633649         7.0927374653
        1.0750109000         0.9759197498         3.1536678255         1.6032813216         1.1124703785         6.9143492830         7.1028415312
        1.0800138000         0.9772718000         3.1543024005         1.5726533993         0.0024036839         6.1165013922         7.1126818873
        1.0850077000         0.9785828962         3.1549178949         1.5726533993        -0.0027000711         6.1165013922         7.1222241770
        1.0900158000         0.9798590174         3.1555171035         1.5956243410        -0.0001481936         6.7148873103         7.1315119146
        1.0950123000         0.9810935089         3.1560968900         1.5777580530         0.0024036839         6.2494760407         7.1404966675
        1.1000168000         0.9822912064         3.1566595136         1.5879673605         0.0075074388         6.5154253376         7.1492136294
        1.1053112000         0.9835159931         3.1572349825         1.5930720142         0.0228187035         6.6483999860         7.1581277494
        1.1100153000         0.9845676994         3.1577292261         1.5701010725         0.0381299683         6.0500140680         7.1657821733
        1.1150170000         0.9856482017         3.1582370955         1.5777580530         0.0713043752         6.2494760407         7.1736461767
        1.1200163000         0.9866892753         3.1587265217         1.5981766679         0.0993750273         6.7813746345         7.1812232148
        1.1250174000         0.9876917609         3.1591978900         1.5701010725         0.1172381695         6.0500140680         7.1885194048
        1.1300166000         0.9886548783         3.1596508243         1.5930720142         0.1478606990         6.6483999860         7.1955290694
        1.1350075000         0.9895774758         3.1600847735         1.5905196873         0.1708275961         6.5819126618         7.2022438268
        1.1400176000         0.9904644729         3.1605020429         1.5675487456         0.1861388609         5.9835267438         7.2086994805
        1.1450062000         0.9913086561         3.1608992308         1.5879673605         0.2193132679         6.5154253376         7.2148435298
        1.1500173000         0.9921174258         3.1612798110         1.5879673605         0.2473839199         6.5154253376         7.2207298367
        1.1550077000         0.9928837569         3.1616404701         1.5828627068         0.2780064494         6.3824506891         7.2263072712
        1.1600067000         0.9936122607         3.1619833707         1.5777580530         0.2907658367         6.2494760407         7.2316093944
        1.1650375000         0.9943058132         3.1623098603         1.5777580530         0.3188364888         6.2494760407         7.2366571392
        1.1700167000         0.9949531229         3.1626146163         1.5777580530         0.3443552634         6.2494760407         7.2413683240
        1.1750067000         0.9955627569         3.1629016657         1.5854150336         0.3673221605         6.4489380134         7.2458053011
        1.1800069000         0.9961343708         3.1631708406         1.5930720142         0.4004965675         6.6483999860         7.2499655645
        1.1852638000         0.9966929206         3.1634338893         1.5701010725         0.4183597097         6.0500140680         7.2540307456
        1.1900078000         0.9971596385         3.1636537093         1.6160429559         0.4540859941         7.2467859041         7.2574275653
