% K_lin=7.165500  p_cw=[-3.083600 35.229700 -73.320600]  p_ccw=[2.523100 5.992400 -26.429300]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]             Omega[rad/s]           Omega_target
        4.1200034000        -0.7039972800         1.9566589565         1.1081299115         2.3450271912        -5.9516128282        -5.0444925098
        4.1250013000        -0.6999989600         1.9584641735         1.1208915457         2.3322678039        -5.6191762070        -5.0158425479
        4.1300023000        -0.6959981600         1.9602694739         1.1157868920         2.3144046617        -5.7521508555        -4.9871748155
        4.1350024000        -0.6919980800         1.9620734150         1.1157868920         2.2837821322        -5.7521508555        -4.9585122422
        4.1400024000        -0.6879980800         1.9638762874         1.1285485263         2.2633671125        -5.4197142343        -4.9298502422
        4.1450012000        -0.6839990400         1.9656776967         1.1157868920         2.2455039703        -5.7521508555        -4.9011951211
        4.1500019000        -0.6799984800         1.9674787615         1.1285485263         2.2250889506        -5.4197142343        -4.8725291084
        4.1550011000        -0.6759991200         1.9692782590         1.1106822383         2.1944664211        -5.8851255039        -4.8438716944
        4.1600027000        -0.6719978400         1.9710775944         1.1183392189         2.1791551564        -5.6856635312        -4.8152005225
        4.1650111000        -0.6679911200         1.9728783496         1.1157868920         2.1561882593        -5.7521508555        -4.7864903703
        4.1700018000        -0.6639985600         1.9746717208         1.1285485263         2.1357732396        -5.4197142343        -4.7578816817
        4.1750023000        -0.6599981600         1.9764675941         1.1285485263         2.1077025875        -5.4197142343        -4.7292168154
        4.1800016000        -0.6559987200         1.9782620180         1.1081299115         2.0923913228        -5.9516128282        -4.7005588281
        4.1850017000        -0.6519986400         1.9800557122         1.1259961995         2.0719763031        -5.4862015586        -4.6718962549
        4.1900021000        -0.6479983200         1.9818484989         1.1311008532         2.0515612834        -5.3532269101        -4.6432319619
        4.1950023000        -0.6439981600         1.9836402003         1.1183392189         2.0234906314        -5.6856635312        -4.6145688154
        4.2000009000        -0.6399992800         1.9854303172         1.1259961995         2.0030756117        -5.4862015586        -4.5859148408
        4.2050018000        -0.6359985600         1.9872202477         1.1413101606         1.9903162244        -5.0872776132        -4.5572476817
        4.2100020000        -0.6319984000         1.9890089193         1.1183392189         1.9750049597        -5.6856635312        -4.5285845352
        4.2150011000        -0.6279991200         1.9907961910         1.1234438726         1.9418305527        -5.5526888828        -4.4999276943
        4.2200033000        -0.6239973600         1.9925835657         1.1311008532         1.9239674105        -5.3532269101        -4.4712530830
